strategy,date,code,name,regime_primary,topic,excess_5d,excess_3d,fwd_ret_5d,entry_proxy_5d,MAE_5d,MFE_5d,has_outcome
sw_no_fake_no_riskoff,2024-01-25,1319,東陽,unknown,汽車精密件,-0.02695141707664661,-0.008706480991220844,-0.02886836027713624,-0.02549246813441486,-0.02886836027713624,0.0011547344110856006,True
sw_no_fake_no_riskoff,2024-01-25,3037,欣興,unknown,IC 載板,0.013312954596501059,0.012466939720306103,0.01139601139601143,0.03498542274052485,-0.022792022792022748,0.014245014245014342,True
sw_no_fake_no_riskoff,2024-01-25,6873,泓德能源,unknown,儲能系統,-0.007823316539770087,0.007962185215551587,-0.009740259740259716,-0.034810126582278444,-0.022727272727272707,0.025974025974025983,True
sw_no_fake_no_riskoff,2024-01-29,1503,士電,unknown,電器電纜,0.009564710110772867,0.09100682975560914,0.008264462809917328,0.025210084033613356,-0.016528925619834656,0.0826446280991735,True
sw_no_fake_no_riskoff,2024-01-29,1514,亞力,unknown,電器電纜,-0.043353101700319474,0.02128817110414427,-0.04465334900117501,-0.04352941176470593,-0.04465334900117501,0.01292596944770863,True
sw_no_fake_no_riskoff,2024-01-29,2352,佳世達,unknown,PC 與平板,0.011938545173196036,0.009426031443669713,0.010638297872340496,0.014957264957265126,-0.010638297872340385,0.010638297872340496,True
sw_no_fake_no_riskoff,2024-01-29,2421,建準,unknown,液冷散熱,0.133778879779488,0.055370748664982705,0.13247863247863245,0.12288135593220328,-0.004273504273504258,0.14957264957264949,True
sw_no_fake_no_riskoff,2024-01-29,3338,泰碩,unknown,液冷散熱,0.025072038109096417,0.028964420356911158,0.023771790808240878,0.009374999999999911,0.009508716323296307,0.0538827258320127,True
sw_no_fake_no_riskoff,2024-01-29,3583,辛耘,unknown,HBM,0.0150302244175603,0.008362201656435642,0.013729977116704761,0.006818181818181834,-0.013729977116704761,0.013729977116704761,True
sw_no_fake_no_riskoff,2024-01-29,6285,啟碁,unknown,交換器與網通,-0.02952167050736365,-0.0053364284805507145,-0.03082191780821919,-0.01736111111111116,-0.03082191780821919,-0.013698630136986356,True
sw_no_fake_no_riskoff,2024-01-31,6579,研揚,unknown,AI 機器人,-0.0246857129638669,-0.0454942214866253,0.015432098765432167,0.024922118380062308,-0.03395061728395066,0.015432098765432167,True
sw_no_fake_no_riskoff,2024-02-01,3338,泰碩,unknown,液冷散熱,-0.010762208004463591,-0.020567065140400187,0.02639751552795011,-0.006015037593985029,0.0031055900621115295,0.045031055900621064,True
sw_no_fake_no_riskoff,2024-02-01,3661,世芯-KY,unknown,AI 伺服器組裝,-0.006856693229383426,0.08103905820485369,0.030303030303030276,0.023839397741530766,0.0063131313131312705,0.11868686868686873,True
sw_no_fake_no_riskoff,2024-02-01,6282,康舒,unknown,電源供應器,0.006887895515205411,-0.0328859057201103,0.04404761904761911,0.060459492140265914,-0.015476190476190421,0.04404761904761911,True
sw_no_fake_no_riskoff,2024-02-01,6789,采鈺,unknown,矽光子與 CPO,0.009073153179915083,0.0034480799289438036,0.046232876712328785,0.014950166112956742,0.03082191780821919,0.08904109589041087,True
sw_no_fake_no_riskoff,2024-02-01,6873,泓德能源,unknown,儲能系統,0.008741915811848688,-0.021254367859064205,0.04590163934426239,0.049342105263157965,-0.003278688524590123,0.062295081967213006,True
sw_no_fake_no_riskoff,2024-02-01,8996,高力,unknown,液冷散熱,0.1347480332810036,0.11748845786180051,0.1719077568134173,0.06883365200764824,0.09643605870020955,0.20335429769392044,True
sw_no_fake_no_riskoff,2024-02-02,2379,瑞昱,unknown,HPC 與網通 IC,-4.6318981960835615e-05,-0.021786063494301455,0.03833865814696491,0.05177993527508096,-0.012779552715655007,0.03833865814696491,True
sw_no_fake_no_riskoff,2024-02-02,2402,毅嘉,unknown,軟板,-0.01222218643125128,0.010391909113866449,0.026162790697674465,0.03823529411764692,-0.011627906976744096,0.0406976744186045,True
sw_no_fake_no_riskoff,2024-02-02,3037,欣興,unknown,IC 載板,0.019948356204407602,-0.01919465419362698,0.05833333333333335,0.07932011331444766,-0.019444444444444486,0.06944444444444442,True
sw_no_fake_no_riskoff,2024-02-02,3037,欣興,unknown,IC 載板,0.019948356204407602,-0.01919465419362698,0.05833333333333335,0.07932011331444766,-0.019444444444444486,0.06944444444444442,True
sw_no_fake_no_riskoff,2024-02-02,5469,瀚宇博,unknown,PCB 硬板,0.03182050232312905,0.02277642647608391,0.0702054794520548,0.06655290102389078,0.0034246575342467,0.0702054794520548,True
sw_no_fake_no_riskoff,2024-02-05,2453,凌群,unknown,系統整合,-0.09758166199660467,-0.08499822680112123,-0.06551724137931025,-0.010948905109488982,-0.0672413793103448,-0.051724137931034475,True
sw_no_fake_no_riskoff,2024-02-05,2493,揚博,unknown,封裝製程機台,0.033127663201099056,-0.007707070283920148,0.06519208381839348,0.06767794632438728,-0.002328288707799775,0.06519208381839348,True
sw_no_fake_no_riskoff,2024-02-15,2382,廣達,unknown,AI 伺服器組裝,-0.09747126642803727,-0.09588050102231327,-0.08630393996247654,-0.02012072434607648,-0.11444652908067543,-0.06754221388367732,True
sw_no_fake_no_riskoff,2024-02-15,2395,研華,unknown,工業自動化,-0.002040859711975429,0.01373249862789172,0.009126466753585305,0.01708278580814726,-0.007822685788787531,0.022164276401564598,True
sw_no_fake_no_riskoff,2024-02-15,2395,研華,unknown,工業自動化,-0.002040859711975429,0.01373249862789172,0.009126466753585305,0.01708278580814726,-0.007822685788787531,0.022164276401564598,True
sw_no_fake_no_riskoff,2024-02-15,3014,聯陽,unknown,類比與功率 IC,0.019792425856420603,0.01584761078131014,0.030959752321981338,-0.017699115044247815,0.021671826625387025,0.049535603715170184,True
sw_no_fake_no_riskoff,2024-02-15,6235,華孚,unknown,精密機構件,0.012642197343962991,0.013223403203542095,0.023809523809523725,-0.00462962962962965,0.01904761904761898,0.02857142857142847,True
sw_no_fake_no_riskoff,2024-02-15,8070,長華*,unknown,封裝材料,-0.00174606132424171,0.018401894519314732,0.009421265141319024,-0.01055408970976246,0.009421265141319024,0.03364737550471064,True
sw_no_fake_no_riskoff,2024-02-16,3338,泰碩,unknown,液冷散熱,-0.06418633376719274,-0.034915022677754814,-0.04903417533432386,-0.03177004538577899,-0.04903417533432386,-0.017830609212481474,True
sw_no_fake_no_riskoff,2024-02-16,3653,健策,unknown,液冷散熱,-0.01980873584846843,-0.06657525166650613,-0.00465657741559955,0.027644230769230838,-0.0628637951105937,-0.00465657741559955,True
sw_no_fake_no_riskoff,2024-02-16,6213,聯茂,unknown,IC 載板,-0.07738844535270006,-0.05117981098629221,-0.062236286919831185,-0.042025862068965414,-0.062236286919831185,-0.021097046413502074,True
sw_no_fake_no_riskoff,2024-02-16,6213,聯茂,unknown,IC 載板,-0.07738844535270006,-0.05117981098629221,-0.062236286919831185,-0.042025862068965414,-0.062236286919831185,-0.021097046413502074,True
sw_no_fake_no_riskoff,2024-02-19,1522,堤維西,unknown,汽車精密件,0.022837375383991887,0.006456366107777001,0.039592760180995556,0.05510907003444321,-0.014705882352941346,0.039592760180995556,True
sw_no_fake_no_riskoff,2024-02-19,2104,國際中橡,unknown,石化與塑橡膠,-0.04081955591999831,-0.03303355573508593,-0.024064171122994638,-0.010840108401083959,-0.024064171122994638,-0.013368983957219305,True
sw_no_fake_no_riskoff,2024-02-19,2395,研華,unknown,工業自動化,-0.0385502565918755,-0.019335489095842817,-0.02179487179487183,-0.024296675191815886,-0.02564102564102566,0.00512820512820511,True
sw_no_fake_no_riskoff,2024-02-19,2606,裕民,unknown,離岸風電,0.07487808133845442,0.03815761540921381,0.09163346613545809,0.02621722846441954,0.04980079681274896,0.09163346613545809,True
sw_no_fake_no_riskoff,2024-02-19,2637,慧洋-KY,unknown,散裝航運,0.08343014395995363,0.04216015811409002,0.1001855287569573,0.08014571948998173,0.01855287569573294,0.1001855287569573,True
sw_no_fake_no_riskoff,2024-02-19,3714,富采,unknown,光學感測,-0.05334075065066213,-0.014969123753867719,-0.03658536585365846,-0.029050279329608908,-0.03658536585365846,-0.003325942350332567,True
sw_no_fake_no_riskoff,2024-02-19,4571,鈞興-KY,unknown,AI 機器人,-0.10723157527319416,-0.05450032426067797,-0.09047619047619049,-0.04500000000000004,-0.09047619047619049,-0.03809523809523807,True
sw_no_fake_no_riskoff,2024-02-19,4576,大銀微系統,unknown,工業自動化,0.034449434480104735,0.04106766196995881,0.051204819277108404,0.011594202898550732,0.036144578313252795,0.07530120481927716,True
sw_no_fake_no_riskoff,2024-02-20,2454,聯發科,unknown,HPC 與網通 IC,0.13003879180037425,0.1129092219489578,0.13543788187372718,0.13659531090723753,-0.0010183299389001643,0.13543788187372718,True
sw_no_fake_no_riskoff,2024-02-20,2515,中工,unknown,水資源工程,-0.04097221260299733,-0.046779402540870985,-0.035573122529644396,-0.02008032128514059,-0.0434782608695653,-0.015810276679842028,True
sw_no_fake_no_riskoff,2024-02-20,2603,長榮,unknown,貨櫃航運,0.033688857809383244,0.031834237041469926,0.039087947882736174,0.029032258064516148,0.009771986970684043,0.05863192182410426,True
sw_no_fake_no_riskoff,2024-02-21,1618,合機,unknown,電器電纜,0.0802090587738058,0.01213761474150954,0.09576138147566704,0.05757575757575761,0.01883830455259039,0.09576138147566704,True
sw_no_fake_no_riskoff,2024-02-21,2344,華邦電,unknown,利基記憶體,-0.006527051943738593,-0.01996514582953368,0.00902527075812265,0.0017921146953405742,-0.009025270758122761,0.00902527075812265,True
sw_no_fake_no_riskoff,2024-02-21,2428,興勤,unknown,電阻與保護,-0.006650245550525957,-0.023452060525995355,0.008902077151335286,0.014925373134328401,-0.023738872403560873,0.023738872403560762,True
sw_no_fake_no_riskoff,2024-02-21,2436,偉詮電,unknown,類比與功率 IC,-0.06922463908604204,-0.027261847781439585,-0.053672316384180796,-0.052333804809052364,-0.053672316384180796,-0.0014124293785310327,True
sw_no_fake_no_riskoff,2024-02-21,2484,希華,unknown,石英元件,0.03888893804312432,0.00693998797204487,0.054441260744985565,0.017980636237897585,0.005730659025787954,0.054441260744985565,True
sw_no_fake_no_riskoff,2024-02-21,3006,晶豪科,unknown,利基記憶體,-0.02298332057871899,-0.04958183050841802,-0.007430997876857748,0.005376344086021501,-0.035031847133757954,-0.007430997876857748,True
sw_no_fake_no_riskoff,2024-02-21,6691,洋基工程,unknown,廠務工程,0.08849392007270529,0.04614365824383704,0.10404624277456653,0.09612625538020092,0.007225433526011571,0.10404624277456653,True
