id,zh,family,verdict,verdict_zh,N,N_with_excess_5d,n_signal_days,date_min,date_max,mean_excess_5d,median_excess_5d,hit_rate_excess_5d,lift_hit_vs_base,lift_mean_vs_base,mean_excess_3d,hit_rate_excess_3d,mean_entry_proxy_5d,mean_MAE_5d,mean_excess_5d_after_10bp_rt,rationale_zh
mild_push_leverage_relay,輕輕推+借錢接力天氣（短窗）,screen,working_filter,可當濾鏡／流程（非保證）,263,255,14,2026-03-17,2026-08-25,0.01313642575020945,0.010947365383419783,0.5607843137254902,0.1646485256769218,0.018969292757242944,0.008054055133909168,0.49019607843137253,0.004316753420325503,-0.022501098030594895,0.01213642575020945,「輕輕推+借錢接力天氣（短窗）」有一點正 lift（命中 +16.5%、平均 +1.90%、N=255）。適合當「可以喝一點湯」的篩選流程，不是保證。
sw_no_fake,第二波且同日同股沒有假動作,soup,working_filter,可當濾鏡／流程（非保證）,2691,2662,529,2024-01-25,2026-09-04,0.0027645532552774132,-0.006002456099141129,0.4425244177310293,0.04638862968246088,0.008597420262310907,0.003158286604659731,0.46099290780141844,0.006241082242527714,-0.021526907532852774,0.0017645532552774132,「第二波且同日同股沒有假動作」有一點正 lift（命中 +4.6%、平均 +0.86%、N=2662）。適合當「可以喝一點湯」的篩選流程，不是保證。
sw_no_fake_no_riskoff,第二波+沒假動作+天氣不是大家都很怕,soup,working_filter,可當濾鏡／流程（非保證）,2360,2352,497,2024-01-25,2026-09-04,0.002706978238709921,-0.005646967686014137,0.44387755102040816,0.04774176297183974,0.008539845245743414,0.003110291533556169,0.4636942675159236,0.005516497714796094,-0.0218710483114057,0.0017069782387099208,「第二波+沒假動作+天氣不是大家都很怕」有一點正 lift（命中 +4.8%、平均 +0.85%、N=2352）。適合當「可以喝一點湯」的篩選流程，不是保證。
life_dist_avoid,出貨狀態當天不進場（喝湯再過濾）,lifecycle,working_filter,可當濾鏡／流程（非保證）,2605,2596,497,2024-01-25,2026-09-04,0.0026212298079750606,-0.006002456099141129,0.4422187981510015,0.0460830101024331,0.008454096815008555,0.0029649863552451083,0.4623076923076923,0.0057993726313675,-0.02130799778301403,0.0016212298079750606,「出貨狀態當天不進場（喝湯再過濾）」有一點正 lift（命中 +4.6%、平均 +0.85%、N=2596）。適合當「可以喝一點湯」的篩選流程，不是保證。
life_exit_on_dist,喝湯單遇上出貨就提早下車（對照無提早）,lifecycle,working_filter,可當濾鏡／流程（非保證）,2605,2596,497,2024-01-25,2026-09-04,0.0024327425316950555,-0.006131605625980918,0.4426040061633282,0.04646821811475976,0.00826560953872855,0.0029649863552451083,0.4623076923076923,0.0057993726313675,-0.02130799778301403,0.0014327425316950555,「喝湯單遇上出貨就提早下車（對照無提早）」有一點正 lift（命中 +4.6%、平均 +0.83%、N=2596）。適合當「可以喝一點湯」的篩選流程，不是保證。
exit_watch_as_long,退出觀察名單當做多（預期差／煞車燈）,avoid,working_filter,可當濾鏡／流程（非保證）,4284,3972,119,2026-03-17,2026-09-04,0.0017822967664860255,-0.009510089612172035,0.4526686807653575,0.056532892716789074,0.00761516377351952,-0.00011528378443792284,0.44644194756554306,0.013761677113655425,-0.045980564706705966,0.0007822967664860255,「退出觀察名單當做多（預期差／煞車燈）」有一點正 lift（命中 +5.7%、平均 +0.76%、N=3972）。適合當「可以喝一點湯」的篩選流程，不是保證。
sw_and_mild,第二波又碰上輕輕推,combo,working_filter,可當濾鏡／流程（非保證）,1692,1669,467,2024-01-29,2026-09-04,0.0015801664343764487,-0.007291636063691209,0.43019772318753746,0.034061935138969046,0.007413033441409943,0.0011874422103835469,0.4441141498216409,0.007108063383882273,-0.022166516005507127,0.0005801664343764487,「第二波又碰上輕輕推」有一點正 lift（命中 +3.4%、平均 +0.74%、N=1669）。適合當「可以喝一點湯」的篩選流程，不是保證。
sw_only,只跟洗盤後再往上的第二波,soup,working_filter,可當濾鏡／流程（非保證）,3100,3064,549,2024-01-25,2026-09-04,0.0008878213628921206,-0.007508377824430479,0.429177545691906,0.03304175764333761,0.006720688369925614,0.0010965981425510043,0.44523655217109526,0.004892559804621677,-0.02462909736415513,-0.00011217863710787947,「只跟洗盤後再往上的第二波」有一點正 lift（命中 +3.3%、平均 +0.67%、N=3064）。適合當「可以喝一點湯」的篩選流程，不是保證。
mild_push_screens,輕輕推（正式篩選，短窗約百日）,screen,working_filter,可當濾鏡／流程（非保證）,1840,1672,119,2026-03-17,2026-09-04,-0.0009768584887991831,-0.0067778888894859946,0.4503588516746411,0.05422306362607271,0.004856008518234311,-0.00036402075895213156,0.44839650145772597,0.007636987822950205,-0.025379515822749627,-0.001976858488799183,「輕輕推（正式篩選，短窗約百日）」有一點正 lift（命中 +5.4%、平均 +0.49%、N=1672）。適合當「可以喝一點湯」的篩選流程，不是保證。
foreign_buy_streak_ge3_material,外國錢連買>=3且當天量夠大（|外資淨額|>=0.5千張）,streak,working_filter,可當濾鏡／流程（非保證）,23410,22724,646,2024-01-04,2026-09-04,-0.0014274369521019234,-0.006909206334734408,0.435706741770815,0.03957095372224656,0.004405430054931571,-0.0004010660114508324,0.4505089505089505,0.0036506315695004916,-0.023686384015414712,-0.002427436952101923,「外國錢連買>=3且當天量夠大（|外資淨額|>=0.5千張）」有一點正 lift（命中 +4.0%、平均 +0.44%、N=22724）。適合當「可以喝一點湯」的篩選流程，不是保證。
mild_push,輕輕推（特徵標籤，較長窗）,screen,working_filter,可當濾鏡／流程（非保證）,35786,34481,634,2024-01-22,2026-09-04,-0.001985155524965433,-0.008015816381074403,0.42008642440764477,0.02395063635907635,0.003847711482068061,-0.0009797635352549858,0.4307113938692886,0.004185317296375544,-0.02161224469609508,-0.002985155524965433,「輕輕推（特徵標籤，較長窗）」有一點正 lift（命中 +2.4%、平均 +0.38%、N=34481）。適合當「可以喝一點湯」的篩選流程，不是保證。
foreign_buy_streak_ge3,外國錢連買滿三天以上（預期接近沒訊號）,streak,working_filter,可當濾鏡／流程（非保證）,108130,100376,646,2024-01-04,2026-09-04,-0.003535608540575496,-0.008387924374589573,0.4178488881804415,0.02171310013187311,0.002297258466457998,-0.0020979650403077643,0.43259281347845535,0.0024413279893146815,-0.02143846490028499,-0.004535608540575496,「外國錢連買滿三天以上（預期接近沒訊號）」有一點正 lift（命中 +2.2%、平均 +0.23%、N=100376）。適合當「可以喝一點湯」的篩選流程，不是保證。
life_ignition_add,生命週期啟動加碼：Ignition 或 Acc→Ign,lifecycle,working_filter,可當濾鏡／流程（非保證）,39959,39663,633,2024-01-22,2026-09-04,-0.003732508734899989,-0.010430878553156275,0.4058442377026448,0.009708449654076357,0.002100358272133505,-0.001905368472146311,0.42023962022454975,0.0014363112036408136,-0.02451270060082481,-0.004732508734899989,「生命週期啟動加碼：Ignition 或 Acc→Ign」有一點正 lift（命中 +1.0%、平均 +0.21%、N=39663）。適合當「可以喝一點湯」的篩選流程，不是保證。
chase,追第一下衝很高（對照，預期較差）,control,not_working,當煞車燈也不夠力,15101,14977,631,2024-01-22,2026-09-04,-0.004531547581069261,-0.013306865061094353,0.397409361020231,0.0012735729716625843,0.001301319425964233,-0.002681130449682724,0.4128989361702128,0.00183466325259251,-0.0289428847768388,-0.005531547581069261,「追第一下衝很高（對照，預期較差）」相對基線差不多（lift 很小），當買訊不行，當紅燈也沒有很明顯。
accum,機構慢慢買進標籤,flow,not_working,沒在工作（接近基線）,48513,45768,634,2024-01-22,2026-09-04,-0.005045839815700585,-0.009007056798271518,0.4100026219192449,0.013866833870676498,0.0007870271913329088,-0.002837088938989283,0.42379903617610504,0.0028167959734598804,-0.019349272968872486,-0.006045839815700585,「機構慢慢買進標籤」跟大家差不多（命中 lift +1.4%、平均 +0.08%、N=45768）。不是訊號。
